Date,Open,High,Low,Close,Adj Close,Volume
28-10-2022,269.679993,274.540009,269.119995,273.809998,269.559784,2924100
31-10-2022,269.200012,271.809998,268,270.350006,266.153503,3033600
01-11-2022,269.600006,272.869995,268.380005,272.059998,267.836945,2062600
02-11-2022,271.640015,274.880005,268.950012,269.01001,264.83429,2637300
03-11-2022,268.529999,268.600006,265.019989,265.880005,261.752869,2779500
04-11-2022,261.940002,269.299988,259.839996,269.040009,264.863831,3402000
07-11-2022,268.149994,277.480011,267.75,277.019989,272.71994,2926700
08-11-2022,282.570007,296.670013,282.220001,292.390015,287.851379,6911300
09-11-2022,290,296.220001,289.26001,289.649994,285.1539,3469100
10-11-2022,294.079987,294.480011,285.350006,291.01001,286.492798,4083200
11-11-2022,288.549988,289.359985,279.619995,285.019989,280.595764,3255100
14-11-2022,284.700012,290.899994,284.700012,285.299988,280.871429,2812800
15-11-2022,286.019989,289.429993,280.220001,283.600006,279.197845,2763200
16-11-2022,284.019989,286.98999,282.559998,283.769989,281.289368,2443500
17-11-2022,282.920013,288.799988,282.660004,287.299988,284.788513,2172000
18-11-2022,284.429993,288.73999,284.429993,287.290009,284.778625,2371700
21-11-2022,289.089996,291.600006,287.899994,288.160004,285.640991,2795100
22-11-2022,288.01001,289.399994,283.519989,287.049988,284.54068,3636000
23-11-2022,287.440002,289.540009,281.600006,283.399994,280.922607,2875600
25-11-2022,281.950012,285.570007,281.410004,283.73999,281.259613,1220700
28-11-2022,285,288.279999,282.190002,282.619995,280.149414,2375900
29-11-2022,283.380005,283.380005,279.679993,281.98999,279.524933,2135300
30-11-2022,282.559998,287.959991,278.929993,286.399994,283.896393,5776200
01-12-2022,288,288.089996,279.880005,285.940002,283.440399,2914600
02-12-2022,284.059998,286.119995,283.190002,285.51001,283.01416,2267000
05-12-2022,283.790009,286.779999,283,284.910004,282.419403,3274700
06-12-2022,285.839996,287.440002,281.690002,283.290009,280.813568,2608800
07-12-2022,283.410004,285.929993,281.809998,285.76001,283.261993,2492600
08-12-2022,286.51001,286.589996,283.73999,285.570007,283.073639,1769800
09-12-2022,284.190002,285.170013,278.339996,278.649994,276.214111,2205700
12-12-2022,272.820007,279.480011,272.630005,276.779999,274.360474,3427400
13-12-2022,282.019989,282.670013,271.619995,272.26001,269.880005,3871300
14-12-2022,271.970001,273.369995,267.290009,271.130005,268.759888,3795000
15-12-2022,270.440002,271.119995,263.450012,266.140015,263.813507,3200400
16-12-2022,264.950012,267.980011,264.309998,267.410004,265.072388,8789000
